observation_date,KORCPIFODMINMEI
1985-01-01,26.6001595246627
1985-02-01,27.1180366906724
1985-03-01,26.8995572612621
1985-04-01,26.8729698174714
1985-05-01,27.2278543932861
1985-06-01,27.2810292808674
1985-07-01,27.1723675540708
1985-08-01,27.3365161200828
1985-09-01,28.0185418521045
1985-10-01,28.1260476030841
1985-11-01,27.0625498514571
1985-12-01,27.3365161200828
1986-01-01,27.9884864808628
1986-02-01,28.4531887592912
1986-03-01,28.3445270324945
1986-04-01,28.2081218860902
1986-05-01,28.4254453396835
1986-06-01,27.8543932860925
1986-07-01,27.8543932860925
1986-08-01,27.7711630272695
1986-09-01,28.1260476030841
1986-10-01,27.2278543932861
1986-11-01,27.0359624076664
1986-12-01,26.8995572612621
1987-01-01,27.1180366906724
1987-02-01,27.1723675540708
1987-03-01,27.3896910076641
1987-04-01,27.7168321638711
1987-05-01,28.7803299154982
1987-06-01,28.6439247690938
1987-07-01,28.3722704521022
1987-08-01,29.5710173743165
1987-09-01,30.0068202573202
1987-10-01,29.8981585305236
1987-11-01,29.6530916573225
1987-12-01,30.1975562671229
1988-01-01,30.5801842625452
1988-02-01,31.3153848821483
1988-03-01,31.6691134821460
1988-04-01,31.3153848821483
1988-05-01,31.4506340527356
1988-06-01,31.7246003213613
1988-07-01,31.8055186285503
1988-08-01,32.1049163651496
1988-09-01,32.2424774873710
1988-10-01,31.7246003213613
1988-11-01,32.1604032043650
1988-12-01,32.7869420971713
1989-01-01,33.0585964141630
1989-02-01,33.1684141167767
1989-03-01,33.2215890043580
1989-04-01,33.2504883997827
1989-05-01,33.8504398487984
1989-06-01,33.6585478631787
1989-07-01,33.1418266729860
1989-08-01,33.7394661703677
1989-09-01,34.4492353219971
1989-10-01,34.3949044585987
1989-11-01,34.2862427318021
1989-12-01,34.0943507461824
1990-01-01,34.8989099148046
1990-02-01,35.1948397239530
1990-03-01,35.3069693782006
1990-04-01,36.2675852821159
1990-05-01,37.1565306853781
1990-06-01,37.3784780422394
1990-07-01,37.4894517206700
1990-08-01,37.8235287317789
1990-09-01,38.4893708023628
1990-10-01,38.4165443258927
1990-11-01,37.8605199579225
1990-12-01,37.8605199579225
1991-01-01,38.9344214919024
1991-02-01,39.9320286219612
1991-03-01,40.4868970141145
1991-04-01,40.8209740252234
1991-05-01,40.4868970141145
1991-06-01,40.6730091206492
1991-07-01,40.7469915729363
1991-08-01,41.9307108095299
1991-09-01,42.4485879755396
1991-10-01,42.1896493925347
1991-11-01,42.1896493925347
1991-12-01,42.1156669402476
1992-01-01,42.5965528801138
1992-02-01,42.8566474389356
1992-03-01,42.8185002369750
1992-04-01,43.2265597003711
1992-05-01,43.7455928421978
1992-06-01,43.7074456402372
1992-07-01,43.6704544140937
1992-08-01,43.8184193186679
1992-09-01,44.1524963297768
1992-10-01,43.5224895095195
1992-11-01,42.3746055232524
1992-12-01,42.4485879755396
1993-01-01,43.0416035696533
1993-02-01,43.0416035696533
1993-03-01,43.3745246049453
1993-04-01,43.8184193186679
1993-05-01,44.0403666755292
1993-06-01,44.5952350676824
1993-07-01,44.3732877108211
1993-08-01,44.7801911984001
1993-09-01,45.7061278278058
1993-10-01,46.0020576369542
1993-11-01,45.5581629232317
1993-12-01,46.2979874461026
1994-01-01,47.3337417781220
1994-02-01,48.4064873362849
1994-03-01,48.5556082166761
1994-04-01,48.2966696336713
1994-05-01,48.1845399794236
1994-06-01,48.5556082166761
1994-07-01,49.7774746552302
1994-08-01,50.8132289872496
1994-09-01,50.2953518212399
1994-10-01,49.7393274532697
1994-11-01,49.6665009767996
1994-12-01,49.5173800964084
1995-01-01,50.2780121839851
1995-02-01,50.7334666558776
1995-03-01,51.1889211277700
1995-04-01,51.3912168957426
1995-05-01,50.9866253597975
1995-06-01,50.0757164160126
1995-07-01,49.9751465199348
1995-08-01,50.5311708879050
1995-09-01,51.7449454957402
1995-10-01,50.1774422879073
1995-11-01,49.7728507519623
1995-12-01,50.1265793519600
1996-01-01,50.9357624238501
1996-02-01,51.2894910238478
1996-03-01,51.1889211277700
1996-04-01,52.0478111597906
1996-05-01,52.8581502074977
1996-06-01,52.6558544395251
1996-07-01,52.7055613996555
1996-08-01,52.7575803114199
1996-09-01,52.6558544395251
1996-10-01,52.2512629035801
1996-11-01,51.8455153918180
1996-12-01,52.0986740957379
1997-01-01,52.5032656316830
1997-02-01,53.0095830395228
1997-03-01,52.9587201035754
1997-04-01,53.7690591512826
1997-05-01,53.6684892552048
1997-06-01,53.6684892552048
1997-07-01,54.2742205833054
1997-08-01,55.3874252950628
1997-09-01,55.6914469349301
1997-10-01,55.1851295270903
1997-11-01,54.7285190793809
1997-12-01,55.3365623591154
1998-01-01,57.0554983989735
1998-02-01,58.1675471349140
1998-03-01,58.8773162865433
1998-04-01,59.5859294623557
1998-05-01,60.0402279584311
1998-06-01,58.7247274787012
1998-07-01,58.9790421584380
1998-08-01,60.5465453662710
1998-09-01,61.2551585420833
1998-10-01,61.4065913741085
1998-11-01,60.4945264545066
1998-12-01,60.6979781982961
1999-01-01,61.2551585420833
1999-02-01,62.4677771741015
1999-03-01,62.7209358780214
1999-04-01,63.1255274139665
1999-05-01,62.4677771741015
1999-06-01,60.8505670061382
1999-07-01,60.1916607904563
1999-08-01,62.9243876218110
1999-09-01,63.2284092616783
1999-10-01,63.8838475499093
1999-11-01,62.7209358780214
1999-12-01,62.5186401100489
2000-01-01,63.3705942871675
2000-02-01,63.9381784133076
2000-03-01,63.6237529910874
2000-04-01,62.4284739963240
2000-05-01,61.3603523414290
2000-06-01,61.4227750355463
2000-07-01,62.1140485741038
2000-08-01,62.7428994185442
2000-09-01,65.6975736067602
2000-10-01,64.3786051995792
2000-11-01,61.7372004577664
2000-12-01,61.7996231518837
2001-01-01,63.4341729571018
2001-02-01,64.0630238015421
2001-03-01,65.6351509126429
2001-04-01,66.1380003930318
2001-05-01,65.2583027963055
2001-06-01,66.0131550047973
2001-07-01,66.8916966257066
2001-08-01,68.5274024067416
2001-09-01,67.8349728923671
2001-10-01,67.5841261400812
2001-11-01,65.5091495485914
2001-12-01,66.2015790629660
2002-01-01,67.5841261400812
2002-02-01,69.4695226975852
2002-03-01,68.7794051348446
2002-04-01,69.1562532511820
2002-05-01,69.7215254256881
2002-06-01,69.1562532511820
2002-07-01,68.1505542904042
2002-08-01,70.3503762701284
2002-09-01,72.0485047452807
2002-10-01,68.9666732171963
2002-11-01,68.3389783485730
2002-12-01,69.5331013675194
2003-01-01,70.9156484446346
2003-02-01,71.6069219831921
2003-03-01,72.9906250361243
2003-04-01,72.2369288034494
2003-05-01,71.1052284786202
2003-06-01,69.9735281537910
2003-07-01,69.9735281537910
2003-08-01,71.6069219831921
2003-09-01,75.0020229576797
2003-10-01,75.6320297779371
2003-11-01,74.4367507831736
2003-12-01,74.4367507831736
2004-01-01,75.6944524720543
2004-02-01,76.6365727628978
2004-03-01,78.2722785439329
2004-04-01,78.0214317916469
2004-05-01,77.2030009132209
2004-06-01,76.9521541609350
2004-07-01,78.1462771798814
2004-08-01,81.1633740622146
2004-09-01,81.3517981203833
2004-10-01,80.5981018877085
2004-11-01,78.0826985099472
2004-12-01,78.0214317916469
2005-01-01,79.5796871929439
2005-02-01,81.2766596922792
2005-03-01,81.5194146138463
2005-04-01,81.9228501739744
2005-05-01,81.0339047707122
2005-06-01,79.5796871929439
2005-07-01,80.6304692105841
2005-08-01,81.0339047707122
2005-09-01,82.6499589628585
2005-10-01,81.6003329210353
2005-11-01,78.6098234824928
2005-12-01,79.9033604217000
2006-01-01,81.4384963066573
2006-02-01,81.1148230779012
2006-03-01,81.1957413850902
2006-04-01,80.9529864635232
2006-05-01,80.2258776746390
2006-06-01,79.4987688857549
2006-07-01,79.9842787288890
2006-08-01,83.0545504988036
2006-09-01,83.8625775948767
2006-10-01,82.0835308125354
2006-11-01,79.9033604217000
2006-12-01,81.1148230779012
2007-01-01,81.5194146138463
2007-02-01,83.3770677517426
2007-03-01,82.6499589628585
2007-04-01,82.8915579086086
2007-05-01,82.3274417099194
2007-06-01,81.8419318667854
2007-07-01,82.8915579086086
2007-08-01,83.0545504988036
2007-09-01,85.4786317870230
2007-10-01,85.6393124255841
2007-11-01,83.3770677517426
2007-12-01,83.7805033118707
2008-01-01,84.0232582334378
2008-02-01,84.7515229981389
2008-03-01,84.5885304079439
2008-04-01,85.8820673471511
2008-05-01,86.2045846000902
2008-06-01,86.0427479857122
2008-07-01,87.6588021778584
2008-08-01,89.1939380628158
2008-09-01,90.0828834660779
2008-10-01,89.3557746771938
2008-11-01,89.5176112915718
2008-12-01,90.9718288693401
2009-01-01,92.9115562902424
2009-02-01,93.2340735431815
2009-03-01,94.7692094281388
2009-04-01,96.3043453130961
2009-05-01,95.6569988555840
2009-06-01,92.9913186216144
2009-07-01,93.7184274104986
2009-08-01,94.4455361993827
2009-09-01,94.2027812778157
2009-10-01,93.6375091033096
2009-11-01,92.1832915255413
2009-12-01,93.6375091033096
2010-01-01,95.8997537771510
2010-02-01,97.0002427549216
2010-03-01,97.6996081241980
2010-04-01,99.2000647346458
2010-05-01,98.6995272058909
2010-06-01,97.4002103875987
2010-07-01,97.8995919405366
2010-08-01,100.3999676326770
2010-09-01,105.5001329372190
2010-10-01,105.7001167535580
2010-11-01,102.3003918758020
2010-12-01,102.3003918758020
2011-01-01,105.7001167535580
2011-02-01,107.8005248130210
2011-03-01,107.4999711006050
2011-04-01,106.6006219149900
2011-05-01,105.5001329372190
2011-06-01,106.3000682025730
2011-07-01,108.2999063659590
2011-08-01,111.6002173234540
2011-09-01,111.2996636110370
2011-10-01,108.6998739986360
2011-11-01,108.4004762620370
2011-12-01,110.0003467927450
2012-01-01,111.9805333672420
2012-02-01,111.5898135411010
2012-03-01,112.6903025188710
2012-04-01,112.2602795149530
2012-05-01,112.0695435051500
2012-06-01,111.4499404672450
2012-07-01,110.6904643554860
2012-08-01,112.0799472875030
2012-09-01,116.1697897279990
2012-10-01,114.3098246384690
2012-11-01,111.4996474273760
2012-12-01,112.3099864750830
2013-01-01,114.6103783508850
2013-02-01,115.2195776064360
2013-03-01,114.1005930155940
2013-04-01,114.2196585247440
2013-05-01,113.0405631914180
2013-06-01,111.7504941796620
2013-07-01,112.5596772515520
2013-08-01,115.1895222351950
2013-09-01,115.2195776064360
2013-10-01,112.6405955587410
2013-11-01,110.8603928005830
2013-12-01,111.2603604332600
2014-01-01,112.5296218803100
2014-02-01,113.6798178182110
2014-03-01,113.9803715306280
2014-04-01,113.8798016345500
2014-05-01,113.8902054169030
2014-06-01,113.3896678881480
2014-07-01,113.7503323430470
2014-08-01,114.6704890933680
2014-09-01,115.4299652051280
2014-10-01,113.1804362652730
2014-11-01,112.8001202214850
2014-12-01,113.4705861953370
2015-01-01,115.2739084698350
2015-02-01,116.0484122672150
2015-03-01,114.9502352410790
2015-04-01,114.8346376593800
2015-05-01,116.5108025940100
2015-06-01,116.1640098489140
2015-07-01,115.8634561364980
2015-08-01,116.6264001757080
2015-09-01,116.3952050123110
2015-10-01,115.2392291953250
2015-11-01,113.7133411169040
2015-12-01,115.5397829077420
2016-01-01,116.4761233195000
2016-02-01,119.5625787508530
2016-03-01,118.1985272868090
2016-04-01,118.2563260776580
2016-05-01,117.0309917116530
2016-06-01,115.2045499208160
2016-07-01,115.1929901626460
2016-08-01,116.7766770319160
2016-09-01,122.4640780514870
2016-10-01,120.7763533586880
2016-11-01,118.9845908423600
2016-12-01,120.2446044828740
2017-01-01,122.5912353913560
2017-02-01,122.9958269273010
2017-03-01,122.3715999861280
2017-04-01,121.3774607835200
2017-05-01,121.0306680384250
2017-06-01,120.5451581952910
2017-07-01,121.6780144959370
2017-08-01,125.3655773521220
2017-09-01,126.5099934109380
2017-10-01,122.8108707965830
2017-11-01,119.5741385090220
2017-12-01,120.5335984371210
2018-01-01,122.1982036135800
2018-02-01,125.7354896135570
2018-03-01,124.2558405678150
2018-04-01,124.8916272671580
2018-05-01,124.0824441952670
